Animal_Type,Time_Period,Count_Of_Animals,How_Safe_Is_Species,Winter_Snow_Depth_Inches,Summer_Temperature_F,Travel_Distance_Miles,Spring_Travel_Day_Of_Year,Fall_Travel_Day_Of_Year,Reason_For_Traveling,Travel_Route_Name,Danger_Of_Blocked_Routes,Baby_Birth_Rate_Percent,Baby_Survival_Rate_Percent,Adult_Death_Rate_Percent,Hunted_By_Predators_Scale,Sick_Animals_Percent,Fights_With_Humans_Per_Year,Home_Quality_Score,Living_Space_Square_Miles,Food_Availability_Score,Protection_Money_Thousands_USD,Tracking_Collars_Used,Tourist_Sightings_Thousands,Tourism_Business_Score
Which animal is being looked at.,The historic 10-year time frame.,Total number of that animal living in the park.,"Is the animal Endangered, Recovered, or Stable?",How deep the snow gets in winter.,How hot it gets in summer.,How far they walk when they migrate.,What day of the year they start moving in spring (Day 1-365).,What day of the year they start moving in the fall (Day 1-365).,"Why they migrate (e.g., Following Food, Raising Babies).",The name of the path/highway the animals walk on.,"How likely fences, roads, or towns are to block them.",What percentage of the herd has babies each year.,What percentage of babies make it through their first winter.,What percentage of grown-up animals die each year.,How much stress they have from being hunted (Scale of 1-10).,What percentage of the animals are sick with wildlife germs.,"Number of times animals mess with cars, fences, or towns.",How nice and healthy the forest/land is for them (0.0 to 1.0).,Total space they have inside the park to roam safely.,"How much grass, plants, or meat there is to eat (Score).",Money spent to protect them (in thousands of dollars).,How many animals are wearing radio/GPS collars.,How many thousands of tourists reported seeing them.,How much money they bring into local hotels/tours (Scale of 1-10).
Bison,1976-1985,2378,Protected,68.9,73.1,25,117.7,287.6,Food Availability,Madison-Firehole Basin,Low,20.9,54.9,13.8,2.9,50.6,27,0.65,3472,3.3,102,0,1.4,2.5
Bison,1986-1995,3091,Protected,80.3,71.9,19.4,119.1,288.2,Food Availability,Madison-Firehole Basin,Low,19.6,58.5,14.8,3.7,46.8,35,0.81,3472,3.7,223,7,3.4,4.1
Bison,1996-2005,3739,Protected,83,72.7,22.4,119.4,287.4,Food Availability,Madison-Firehole Basin,Low,18.3,54.4,15.8,6.5,42.4,42,0.71,3472,3.2,342,9,5.5,8.5
Bison,2006-2015,4596,Managed,79.9,73,23,117.7,286.2,Food Availability,Madison-Firehole Basin,Low,22.2,56,14.5,5.6,47.3,36,0.7,3472,3.9,462,7,7.6,8.3
Bison,2016-2025,5383,Managed,70,74.3,21.7,123.9,288.1,Food Availability,Madison-Firehole Basin,Low,19.8,57.7,15.2,6.4,39.8,44,0.77,3472,3.2,586,8,9.4,8.3
Elk,1976-1985,17604,Overabundant,61.7,72.4,70.2,105.5,299.2,Food Availability,Paradise Valley Corridor,Low,19.8,53.1,13.7,3.7,9,32,0.72,3382,3.6,101,0,1.2,3.4
Elk,1986-1995,19022,Overabundant,69.9,72.7,69.4,105.3,296.8,Food Availability,Paradise Valley Corridor,Low,20.4,62,14.7,3.7,8.4,41,0.72,3342,3.2,223,4,3.3,3.6
Elk,1996-2005,17139,Stable,77.7,71.7,65.6,100.2,304.4,Food Availability,Paradise Valley Corridor,High,20.8,53.9,17,6.6,6.2,29,0.76,3302,3.6,343,8,5.1,8.2
Elk,2006-2015,13778,Stable,55.8,74.7,69.6,100.9,294.2,Food Availability,Paradise Valley Corridor,High,19.5,57,14.9,6.4,8.7,36,0.72,3262,3.2,463,6,7.3,7.9
Elk,2016-2025,9963,Stable,68.3,75.1,65.2,100.5,299.4,Food Availability,Paradise Valley Corridor,High,17.7,57.3,14.9,7.4,7.4,47,0.72,3222,3.6,587,6,9.2,8.2
Gray Wolf,1976-1985,0,Extirpated,64.2,71.7,0,0,0,Food Availability,Northern Range-Lamar,Low,0,0,0,3,7.5,32,0.77,3472,3.1,100,0,1.4,2.9
Gray Wolf,1986-1995,1,Extirpated,60.5,73.8,2.4,11.2,29.3,Food Availability,Northern Range-Lamar,Low,2.6,4.6,1.1,2.8,9,26,0.72,3472,3,225,10,3.5,3.7
Gray Wolf,1996-2005,81,Recovered,76,70.4,30,112.1,296.9,Food Availability,Northern Range-Lamar,Low,19.2,57.4,15.6,3.3,5,40,0.79,3472,3.6,347,12,5.3,7.6
Gray Wolf,2006-2015,96,Recovered,67.9,72.8,32,111.4,296.7,Food Availability,Northern Range-Lamar,Low,20.7,58,15.3,2.9,10.6,48,0.75,3472,3.4,468,11,7.4,8.9
